x,pi,i
-1.30948986651337,0.3400584861166118,0.4454700757590473
-0.7178520399765306,0.0735198749053696,0.4454700757590473
-1.8355830481800015,0.051016631022126724,0.3802526844546996
-1.3619021931857165,0.18276800645787805,-0.05452992424095271
-0.3292635846148814,-0.5773732494715693,-0.05452992424095271
-0.07942111242972365,-0.8230798083310402,0.1377777680667398
0.7015551435714299,-0.3321139367410302,0.5541657279329604
0.9861337816876029,-0.5386184097889162,1.1519918148894819
1.4694092300591035,0.34968256584851876,1.7288034090923805
1.7770170257728748,1.2385526947875087,2.5031623834513557
2.7086177602699704,0.42985657116586484,3.1166657279329595
2.76178422069474,0.5163910806086465,3.293296162715569
2.3796671547020023,1.162045699274949,3.544371174660146
1.47897444949766,1.486902216493779,3.6954700757590473
1.6131590865843362,2.64619517344643,3.8721005105416566
-1.163142140898866,2.7659933466545157,3.8911222496720903
-2.0139052961224766,1.6426840468886867,2.7010256313146037
-1.8192491253488217,-0.10983005912331745,-0.06551893522996366
-1.9064833340354812,-1.6279933738484358,-1.5708342720670396
-2.2080423992491336,-2.4541332023597766,-2.2610516633713873
-2.431728131046785,-2.8017807898979568,-2.5545299242409527
-1.7975637937705744,-2.7131434298575234,-2.878705748416777
-2.1904749355238127,-2.539321847599541,-3.0545299242409527
-1.2458552171373714,-2.1269878323175844,-3.0545299242409527
-0.3566913644913358,-1.5824261741312133,-2.937863257574286
0.12547856818162426,-1.8006378831437635,-2.2743101440211726
1.0022100619542553,-1.3678171851113978,-1.638769054675735
0.47635738146712875,-0.9493403295727125,-1.4621386198931265
0.9795994531364697,-1.3450757046589272,-1.0435409132519418
0.2710000483361666,-1.4815823151675849,-0.8045299242409527
-1.2882572339367857,-1.7582705783886103,-1.0708342720670396
-1.1478975474748085,-2.0681862705055236,-1.4240951416322574
-0.6560383941371158,-2.8970492334845614,-2.1073077020187303
0.9862073345246684,-2.7525305745925825,-2.8045299242409527
0.5917656927792662,-2.562266501942612,-2.8045299242409527
1.0223912260594372,-2.9627911028260128,-2.8045299242409527
1.493050117456495,-2.496720760341609,-2.8045299242409527
0.9256626751796274,-2.0126751020738025,-2.532551902262931
1.026336567578522,-1.904983599951982,-1.8072473155453004
1.1926373609420051,-1.3093468603579188,-1.5545299242409527
1.0138082812780493,-0.6161392393089775,-1.5545299242409527
1.1496283071084403,-0.38048504535886973,-1.5545299242409527
1.3555428701199514,-0.032599716757498065,-1.5463777503279088
0.3705825510106889,1.4073526056773362,-0.8670299242409527
1.1589561977461185,2.665117700297281,-0.005079374790403435
0.37944501591787777,3.2033049310421164,0.8822832625722343
0.3220606609396595,3.0807479168120873,1.611230945324265
0.4253257214746112,1.1333444209029482,1.6601439888025258
-0.14716899474752712,0.22130507002898714,1.339914520203492
-0.05094109508082615,-0.5257026064137476,0.5278876581766294
-0.05659285867359946,-1.1016579696768174,-0.5463777503279088
-0.023045124549060082,-0.7713148500894667,-1.0708342720670396
0.17449265289147728,-1.4425662829178902,-1.473974368685397
0.5130892954865344,-1.6703196124090551,-1.7248595945706233
0.9918618765626489,-1.683345753019661,-1.8045299242409527
1.1803866907717944,-1.5759178351416052,-1.8045299242409527
1.5979314057185658,-1.7094018232147183,-1.8045299242409527
2.1072845962370903,-1.5075992952615307,-1.8045299242409527
2.2501678472849886,-1.062751968518561,-1.8045299242409527
2.415785246526202,-1.0173758448837615,-1.8045299242409527
0.01643618608294569,-1.1146291367806098,-1.8155189352299637
-18.274017263862564,-1.9767683372391103,-2.7880464077574363
-9.47596678823356,-2.870761516667975,-3.8045299242409527
-3.315311747767392,-3.1898485954796056,-4.304529924240953
-1.097219212300938,-3.2491443672488023,-4.304529924240953
-4.127298351147391,-1.8691056155333845,-4.304529924240953
0.1601360393671639,-0.5579944363285909,-4.304529924240953
4.061831466130028,0.259831136451127,-3.663225576414866
3.423670947389145,2.810102898277333,-2.387863257574286
3.998415265910037,4.217226413447361,-0.39518926490029305
4.003638898363914,5.6192333984820815,2.4509048583677426
2.79616193635469,7.269482514096237,4.760687467063395
2.562423473999719,7.877933595481445,6.456581186870158
1.1544987767207684,7.098632272018379,7.1103052405942115
0.21844635670923349,6.145912350476867,7.195470075759047
0.18760848717057552,4.820736768735878,7.1628613801068735
-0.031169307140078407,2.8006520569949673,6.74766787795685
-0.5172642504099331,2.184932245737447,5.865799746088717
-0.8981343508848058,1.3245714026566597,4.869383119237309
-0.32306174577577756,0.3721360850917117,3.8394918148894828
-0.760018465792068,0.30155530692080834,3.4454700757590473
-1.0025810772691943,0.12172848053791885,3.280634910923883
